time,社会融资规模存量（万亿元）,环比增速,同比增速,date,社融存量
,,,,202304,993.0
,,,,202304.0,993.0
,,,,202305,753.0
,,,,202305.0,753.0
,,,,202306,700.0
,,,,202306.0,700.0
,,,,202307,786.0
,,,,202307.0,786.0
,,,,202308,1036.0
,,,,202308.0,1036.0
,,,,202309,326.0
,,,,202309.0,326.0
,,,,202310,321.0
,,,,202310.0,321.0
,,,,202311,359.0
,,,,202311.0,359.0
,,,,202312,508.0
,,,,202312.0,508.0
,,,,202401,422.0
,,,,202401.0,422.0
,,,,202402,114.0
,,,,202402.0,114.0
,,,,202403,227.0
,,,,202403.0,227.0
,,,,202404,186.0
,,,,202404.0,186.0
,,,,202405,111.0
,,,,202405.0,111.0
,,,,202406,154.0
,,,,202406.0,154.0
,,,,202407,231.0
,,,,202407.0,231.0
,,,,202408,132.0
,,,,202408.0,132.0
,,,,202409,128.0
,,,,202409.0,128.0
,,,,202410,284.0
,,,,202410.0,284.0
,,,,202411,428.0
,,,,202411.0,428.0
,,,,202412,484.0
,,,,202412.0,484.0
,,,,202501,473.0
,,,,202501.0,473.0
,,,,202502,76.0
,,,,202502.0,76.0
,,,,202503,412.0
,,,,202503.0,412.0
,,,,202504,391.0
,,,,202504.0,391.0
,,,,202505,152.0
,,,,202505.0,152.0
,,,,202506,203.0
,,,,202506.0,203.0
,,,,202507,505.0
,,,,202507.0,505.0
,,,,202508,456.0
,,,,202508.0,456.0
,,,,202509,499.0
,,,,202509.0,499.0
,,,,202510,695.0
,,,,202510.0,695.0
,,,,202511,341.0
,,,,202511.0,341.0
,,,,202512,559.0
,,,,202512.0,559.0
,,,,202601,291.0
,,,,202601.0,291.0
,,,,202602,454.0
,,,,202602.0,454.0
,,,,202603,428.0
,,,,202603.0,428.0
,,,,202604,835.0
,,,,202604.0,835.0
202605.0,458.81,0.0042,0.077,,
