date,open,high,low,close,volume,amount,股票代码
2025-09-04,99.696,99.756,99.696,99.744,47653640,4752721853,511120
2025-09-05,99.744,99.749,99.68,99.696,26478450,2639880339,511120
2025-09-08,99.654,99.764,99.63,99.67,39504930,3936630389,511120
2025-09-09,99.614,99.629,99.58,99.613,53666290,5345752248,511120
2025-09-10,99.615,99.615,99.534,99.537,57323220,5709102020,511120
2025-09-11,99.577,99.577,99.533,99.556,15748940,1567740999,511120
2025-09-12,99.556,99.582,99.535,99.578,24588760,2448359875,511120
2025-09-15,99.605,99.644,99.522,99.63,50530740,5034330336,511120
2025-09-16,99.535,99.619,99.535,99.603,57152080,5689260813,511120
2025-09-17,99.532,99.637,99.532,99.629,23870760,2377520231,511120
2025-09-18,99.562,99.648,99.562,99.644,55470140,5525276584,511120
2025-09-19,99.639,99.642,99.615,99.63,25397440,2530392452,511120
2025-09-22,99.599,99.67,99.599,99.641,44583950,4442788496,511120
2025-09-23,99.58,99.58,99.531,99.546,46945930,4673539562,511120
2025-09-24,99.54,99.54,99.422,99.442,46326060,4608733777,511120
2025-09-25,99.349,99.365,99.245,99.295,15652050,1553773298,511120
2025-09-26,99.183,99.351,99.183,99.345,38750060,3848721773,511120
2025-09-29,99.329,99.35,99.241,99.285,39762930,3950164976,511120
2025-09-30,99.325,99.575,99.325,99.477,60939680,6060918927,511120
2025-10-09,99.302,99.38,98.75,99.259,26945700,2675520565,511120
2025-10-10,99.328,99.337,99.258,99.27,27414429,2722391226,511120
2025-10-13,99.275,99.366,99.274,99.313,14608625,1451042895,511120
2025-10-14,99.201,99.355,99.2,99.336,45802084,4546823240,511120
2025-10-15,99.245,99.338,99.22,99.243,29216526,2900378325,511120
2025-10-16,99.218,99.38,99.218,99.324,47315758,4699345816,511120
2025-10-17,99.411,99.416,99.378,99.409,28278680,2811113438,511120
2025-10-20,99.435,99.453,99.338,99.354,29586700,2940939584,511120
2025-10-21,99.399,99.438,99.299,99.303,10864200,1079488290,511120
2025-10-22,99.347,99.392,99.31,99.318,24001200,2384022967,511120
2025-10-23,99.361,99.429,99.33,99.38,52373910,5205324485,511120
2025-10-24,99.41,99.44,99.355,99.361,51032400,5070771803,511120
2025-10-27,99.399,99.42,99.353,99.355,12251470,1217508512,511120
2025-10-28,99.515,99.519,99.482,99.502,60532180,6022855843,511120
2025-10-29,99.526,99.696,99.512,99.678,41190270,4105691233,511120
2025-10-30,99.71,99.75,99.697,99.75,51084520,5094424645,511120
2025-10-31,99.808,99.826,99.774,99.82,32713320,3264361050,511120
2025-11-03,99.887,99.937,99.85,99.881,60701960,6061475027,511120
2025-11-04,99.865,99.904,99.799,99.829,28657900,2860918480,511120
2025-11-05,99.891,99.892,99.822,99.823,32719370,3266850472,511120
2025-11-06,99.8,99.85,99.744,99.758,11639340,1161183864,511120
2025-11-07,99.807,99.818,99.72,99.745,48117820,4799214592,511120
2025-11-10,99.76,99.791,99.738,99.79,44325190,4421307564,511120
2025-11-11,99.79,99.805,99.749,99.794,26640500,2657748384,511120
2025-11-12,99.83,99.843,99.731,99.794,21111600,2106067647,511120
2025-11-13,99.78,99.78,99.761,99.761,64342600,6419782891,511120
2025-11-14,99.761,99.771,99.745,99.761,64946510,6478182239,511120
2025-11-17,99.815,99.815,99.766,99.79,46237500,4613978092,511120
2025-11-18,99.815,99.815,99.781,99.782,59180310,5905603394,511120
2025-11-19,99.808,99.808,99.782,99.785,62524910,6239008264,511120
2025-11-20,99.813,99.829,99.776,99.776,39518920,3943221747,511120
2025-11-21,99.756,99.834,99.741,99.743,53091920,5297092489,511120
2025-11-24,99.768,99.793,99.743,99.752,31821310,3174802801,511120
2025-11-25,99.76,99.794,99.701,99.726,34541520,3444969682,511120
2025-11-26,99.775,99.775,99.62,99.667,20003020,1993116859,511120
2025-11-27,99.644,99.729,99.644,99.68,54357662,5417836339,511120
2025-11-28,99.704,99.722,99.665,99.668,50588000,5042173777,511120
2025-12-01,99.675,99.73,99.658,99.718,68148800,6794431991,511120
2025-12-02,99.691,99.716,99.679,99.682,27488610,2740204899,511120
2025-12-03,99.676,99.676,99.62,99.625,21867200,2178681273,511120
2025-12-04,99.585,99.586,99.44,99.483,3532300,351419870,511120
2025-12-05,99.516,99.534,99.476,99.526,17981220,1788926918,511120
2025-12-08,99.552,99.562,99.458,99.49,51948700,5170707603,511120
2025-12-09,99.56,99.564,99.467,99.502,88290300,8784019709,511120
2025-12-10,99.499,99.511,99.486,99.509,58099640,5780338544,511120
2025-12-11,99.6,99.742,99.6,99.674,39124040,3897731819,511120
2025-12-12,99.688,99.711,99.668,99.681,41533200,4141263616,511120
2025-12-15,99.621,99.729,99.498,99.594,5068720,504821034,511120
2025-12-16,99.595,99.595,99.535,99.542,53205200,5297897136,511120
2025-12-17,99.53,99.579,99.526,99.579,46676220,4646619764,511120
2025-12-18,99.58,99.634,99.58,99.627,27328690,2721994346,511120
2025-12-19,99.684,99.684,99.606,99.63,26120540,2602344042,511120
2025-12-22,99.64,99.649,99.611,99.616,21770020,2168838757,511120
2025-12-23,99.675,99.698,99.64,99.698,36660540,3653537754,511120
2025-12-24,99.691,99.876,99.691,99.876,46759340,4662944046,511120
2025-12-25,99.817,99.995,99.817,99.995,26046833,2602748131,511120
2025-12-26,100.007,100.025,99.974,100.019,38941300,3893757281,511120
2025-12-29,99.959,99.986,99.941,99.983,11977720,1197212093,511120
2025-12-30,99.924,100.021,99.924,99.958,63714340,6367973274,511120
2025-12-31,99.925,100.099,99.863,99.98,35403640,3537404660,511120
2026-01-05,99.917,99.924,99.652,99.663,23447640,2338359531,511120
2026-01-06,99.673,99.735,99.583,99.652,5016280,500069525,511120
2026-01-07,99.652,99.709,99.594,99.703,38902540,3878506446,511120
2026-01-08,99.674,99.737,99.674,99.731,53830230,5367950625,511120
2026-01-09,99.732,99.75,99.732,99.745,70767910,7058647860,511120
2026-01-12,99.745,99.803,99.661,99.713,1599800,159511749,511120
2026-01-13,99.771,99.771,99.681,99.7,2795990,278776334,511120
2026-01-14,99.94,99.996,99.684,99.7,101897940,10164306010,511120
2026-01-15,99.95,100.063,99.721,99.775,93940000,9371531009,511120
2026-01-16,99.755,99.833,99.745,99.82,83646920,8347966147,511120
2026-01-19,99.82,99.82,99.766,99.773,55491600,5536398191,511120
2026-01-20,99.776,99.805,99.743,99.804,58383210,5825186935,511120
2026-01-21,99.787,99.834,99.772,99.829,80995420,8081743154,511120
2026-01-22,99.853,99.879,99.802,99.879,57033440,5694785677,511120
2026-01-23,99.879,99.931,99.879,99.92,56873630,5681112887,511120
2026-01-26,99.93,99.952,99.894,99.94,144280,14416006,511120
2026-01-27,99.941,99.941,99.921,99.94,1273810,127302341,511120
2026-01-28,99.91,99.955,99.91,99.945,77255410,7720193818,511120
2026-01-29,99.962,100.012,99.962,99.99,31648630,3164837912,511120
2026-01-30,100.0,100.049,100.0,100.0,40605520,4060567201,511120
2026-02-02,100.0,100.045,99.986,99.999,33078420,3308007297,511120
2026-02-03,100.03,100.03,99.976,99.994,18413300,1841329797,511120
2026-02-04,100.011,100.011,99.965,99.985,60075350,6007699368,511120
2026-02-05,99.993,100.04,99.993,100.04,94195476,9420021391,511120
2026-02-06,100.04,100.056,100.021,100.056,60970200,6099764286,511120
2026-02-09,100.056,100.079,100.013,100.066,72304210,7235159314,511120
2026-02-10,100.066,100.115,100.045,100.115,31716200,3175077065,511120
2026-02-11,100.174,100.19,100.086,100.18,27919470,2797104364,511120
2026-02-12,100.156,100.268,100.156,100.265,29501400,2957530572,511120
2026-02-13,100.274,100.36,100.211,100.268,3842790,385275376,511120
2026-02-24,100.275,100.305,100.268,100.284,65221350,6541696914,511120
2026-02-25,100.283,100.283,100.216,100.232,18056800,1810010976,511120
2026-02-26,100.216,100.241,100.154,100.194,7617600,763299297,511120
2026-02-27,100.208,100.224,100.186,100.212,71796910,7193926434,511120
2026-03-02,100.212,100.265,100.212,100.265,24303100,2436628109,511120
2026-03-03,100.215,100.302,100.215,100.297,58955230,5911446327,511120
2026-03-04,100.296,100.384,100.296,100.351,50606260,5078345614,511120
2026-03-05,100.32,100.389,100.32,100.376,58993290,5919987474,511120
2026-03-06,100.376,100.407,100.376,100.385,70198510,7047548910,511120
2026-03-09,100.333,100.42,100.325,100.339,55520960,5570972944,511120
2026-03-10,100.339,100.391,100.339,100.388,63351210,6359826925,511120
2026-03-11,100.407,100.407,100.372,100.377,53956030,5416644257,511120
2026-03-12,100.386,100.418,100.386,100.395,17786610,1785690089,511120
2026-03-13,100.342,100.41,100.342,100.391,26454910,2655598381,511120
2026-03-16,100.391,100.419,100.366,100.372,4077100,409257820,511120
2026-03-17,100.342,100.421,100.342,100.386,12401000,1244990731,511120
2026-03-18,100.417,100.439,100.372,100.42,30595110,3072660764,511120
2026-03-19,100.415,100.444,100.385,100.44,23421810,2352207180,511120
2026-03-20,100.497,100.497,100.462,100.476,25811910,2593504725,511120
2026-03-23,100.488,100.522,100.464,100.478,17660340,1774500788,511120
2026-03-24,100.525,100.53,100.455,100.518,25549810,2567207985,511120
2026-03-25,100.529,100.53,100.519,100.522,17653970,1774594462,511120
2026-03-26,100.555,100.621,100.54,100.615,43177110,4341988356,511120
2026-03-27,100.615,100.615,100.59,100.606,15592530,1568581839,511120
2026-03-30,100.606,100.701,100.606,100.7,11833550,1190800302,511120
2026-03-31,100.64,100.735,100.64,100.689,35708610,3595442080,511120
2026-04-01,100.666,100.666,100.591,100.625,65841700,6624664298,511120
2026-04-02,100.595,100.63,100.58,100.619,65729110,6613986069,511120
2026-04-03,100.61,100.67,100.61,100.67,66603810,6704325180,511120
2026-04-07,100.705,100.73,100.687,100.723,73633143,7415230501,511120
2026-04-08,100.783,100.783,100.686,100.773,65457310,6594176347,511120
2026-04-09,100.728,100.809,100.728,100.783,60024320,6048951940,511120
2026-04-10,100.762,100.843,100.762,100.812,55604770,5604967114,511120
2026-04-13,100.794,100.852,100.794,100.851,54067770,5452167924,511120
2026-04-14,100.798,100.878,100.798,100.877,53517310,5397486060,511120
2026-04-15,100.826,100.891,100.826,100.88,4526420,456614019,511120
2026-04-16,100.88,100.946,100.842,100.935,25261730,2549661253,511120
2026-04-17,100.935,100.982,100.901,100.972,42792830,4319611313,511120
2026-04-20,100.972,100.987,100.929,100.987,5175900,522568668,511120
2026-04-21,100.967,100.999,100.932,100.986,63656400,6428860321,511120
2026-04-22,101.043,101.046,100.969,100.981,49610260,5010964165,511120
2026-04-23,100.999,100.999,100.947,100.965,29989110,3027879483,511120
2026-04-24,101.02,101.02,100.959,100.984,37514810,3789255139,511120
2026-04-27,100.928,101.002,100.903,100.95,37635210,3800641755,511120
2026-04-28,100.95,100.975,100.945,100.975,60377420,6095741743,511120
2026-04-29,101.009,101.033,100.971,101.02,33046500,3337087806,511120
2026-04-30,101.009,101.068,101.009,101.043,30068360,3037853557,511120
2026-05-06,101.035,101.04,100.976,101.001,7792630,787012741,511120
2026-05-07,100.967,101.038,100.967,101.021,28970830,2926780074,511120
2026-05-08,101.026,101.052,101.025,101.041,23390810,2363435012,511120
2026-05-11,101.004,101.074,100.993,101.02,48922810,4941706523,511120
2026-05-12,101.05,101.056,101.021,101.051,16417960,1658825407,511120
2026-05-13,101.088,101.088,101.009,101.055,38512200,3891324738,511120
2026-05-14,101.055,101.088,101.055,101.075,36349710,3673865422,511120
2026-05-15,101.059,101.103,101.059,101.09,14000310,1415429667,511120
2026-05-18,101.061,101.115,101.058,101.11,19837800,2005764960,511120
2026-05-19,101.167,101.167,101.092,101.141,49672710,5024395487,511120
2026-05-20,101.168,101.171,101.151,101.156,8514400,861297558,511120
2026-05-21,101.138,101.192,101.136,101.171,8869700,897361074,511120
2026-05-22,101.239,101.24,101.151,101.208,42305500,4281108473,511120
2026-05-25,101.208,101.268,101.208,101.254,46757020,4733682820,511120
2026-05-26,101.299,101.3,101.278,101.288,44809600,4538980898,511120
2026-05-27,101.34,101.34,101.244,101.311,31930000,3234765280,511120
2026-05-28,101.312,101.371,101.311,101.349,34809200,3527741667,511120
2026-05-29,101.395,101.395,101.351,101.375,22111800,2241644579,511120
2026-06-01,101.381,101.426,101.381,101.421,40859500,4143560540,511120
2026-06-02,101.43,101.462,101.43,101.453,40915500,4151274689,511120
2026-06-03,101.464,101.498,101.464,101.497,41829010,4244921875,511120
2026-06-04,101.544,101.555,101.514,101.553,39240200,3984457503,511120
2026-06-05,101.584,101.584,101.55,101.576,33399800,3392582141,511120
2026-06-08,101.582,101.61,101.564,101.57,15216010,1545607348,511120
2026-06-09,101.611,101.611,101.489,101.505,9295200,943535008,511120
